GO_ID	bias_source
GO:0005737	chr11
GO:0044422	chr11
GO:0005515	chr11
GO:0044444	chr11
GO:0044446	chr11
GO:0060255	chr11
GO:0043231	chr11
GO:0019222	chr11
GO:0032501	chr11
GO:0031323	chr11
GO:0080090	chr11
GO:0048519	chr11
GO:0005634	chr11
GO:0071840	chr11
GO:0051171	chr11
GO:0050896	chr11
GO:0016043	chr11
GO:0043232	chr11
GO:0043228	chr11
GO:0048518	chr11
GO:0048522	chr11
GO:0051716	chr11
GO:0032502	chr11
GO:0010604	chr11
GO:0032991	chr11
GO:0051179	chr11
GO:0048523	chr11
GO:0031325	chr11
GO:0009893	chr11
GO:0065008	chr11
GO:0005829	chr11
GO:0044428	chr11
GO:0051173	chr11
GO:0022607	chr11
GO:0044085	chr11
GO:0005856	chr11
GO:0070013	chr11
GO:0031974	chr11
GO:0009892	chr11
GO:0031981	chr11
GO:0043233	chr11
GO:0051246	chr11
GO:0048856	chr11
GO:0007154	chr11
GO:0007275	chr11
GO:0006996	chr11
GO:0071702	chr11
GO:0007165	chr11
GO:0023052	chr11
GO:0048731	chr11
GO:0002460	chr12
GO:0003823	chr12
GO:0050851	chr12
GO:0019724	chr12
GO:0050853	chr12
GO:0008037	chr12
GO:0006956	chr12
GO:0006958	chr12
GO:0002455	chr12
GO:0019814	chr12
GO:0042571	chr12
GO:0016064	chr12
GO:0034987	chr12
GO:0002449	chr12
GO:0010324	chr12
GO:0006909	chr12
GO:0006911	chr12
GO:0006910	chr12
GO:0099024	chr12
GO:0050871	chr12
GO:0072376	chr12
GO:0050864	chr12
GO:0002429	chr12
GO:0002443	chr12
GO:0006959	chr12
GO:0002768	chr12
GO:0002253	chr12
GO:0002757	chr12
GO:0002764	chr12
GO:0002250	chr12
GO:0042742	chr12
GO:0051251	chr12
GO:0045087	chr12
GO:0002696	chr12
GO:0051249	chr12
GO:0098542	chr12
GO:0006897	chr12
GO:0050867	chr12
GO:0009897	chr12
GO:0002252	chr12
GO:0098657	chr12
GO:0002694	chr12
GO:0050778	chr12
GO:0009617	chr12
GO:0050865	chr12
GO:0061024	chr12
GO:0098552	chr12
GO:0016192	chr12
GO:0050776	chr12
GO:0043207	chr12
GO:0051707	chr12
GO:0002684	chr12
GO:0009607	chr12
GO:0006952	chr12
GO:0006955	chr12
GO:0009986	chr12
GO:0002682	chr12
GO:0005615	chr12
GO:0002376	chr12
GO:0005102	chr12
GO:0007166	chr12
GO:0051704	chr12
GO:0044421	chr12
GO:0009605	chr12
GO:0005576	chr12
GO:0048584	chr12
GO:0006810	chr12
GO:0006950	chr12
GO:0051234	chr12
GO:1903489	chr13
GO:0005148	chr13
GO:1903487	chr13
GO:0005179	chr13
GO:0005550	chr13
GO:0016503	chr13
GO:0019236	chr13
GO:0042605	chr17
GO:0048002	chr17
GO:0019882	chr17
GO:0019883	chr17
GO:0019885	chr17
GO:0002483	chr17
GO:0002474	chr17
GO:0002484	chr17
GO:0002476	chr17
GO:0002428	chr17
GO:0002475	chr17
GO:0001916	chr17
GO:0001914	chr17
GO:0002486	chr17
GO:0002711	chr17
GO:0002824	chr17
GO:0002821	chr17
GO:0031341	chr17
GO:0002708	chr17
GO:0001910	chr17
GO:0050778	chr17
GO:0001912	chr17
GO:0002699	chr17
GO:0002705	chr17
GO:0003823	chr17
GO:0031343	chr17
GO:0002822	chr17
GO:0002819	chr17
GO:0002709	chr17
GO:0050776	chr17
GO:0002703	chr17
GO:0042611	chr17
GO:0044459	chr17
GO:0002706	chr17
GO:0042277	chr17
GO:0004930	chr17
GO:0002684	chr17
GO:0002697	chr17
GO:0002682	chr17
GO:0033218	chr17
GO:0016020	chr17
P00012	chr18
P00057	chr18
GO:0022610	chr18
GO:0007155	chr18
GO:0005887	chr18
GO:0031226	chr18
GO:0044459	chr18
GO:0071944	chr18
GO:0005886	chr18
GO:0016020	chr18
